time_limit, cost_limit, E_time, E_cost, P_success_inf, P_success_sup, P_success_confidence, time_distribution_low, time_distribution_up, time_distribution_hist, cost_distribution_low, cost_distribution_up, cost_distribution_hist, t_d_dk, t_d_cp, t_d_cc, t_d_dsr,  p_d_dk, p_d_cp, p_d_cc, p_d_dsr, t_a_ad, t_a_ic, t_a_p, t_a_sp, t_a_bf, t_a_ss, t_a_fue, p_a_ad, p_a_ic, p_a_p, p_a_sp, p_a_bf, p_a_ss, p_a_fue, w_a_ad, w_a_ic, w_a_p, w_a_sp, w_a_bf, w_a_ss, w_a_fue, wp_a_ad, wp_a_ic, wp_a_p, wp_a_sp, wp_a_bf, wp_a_ss, wp_a_fue
10000, None, 627.07, 2580.63, 0.901855, 1.0, 0.95, 108.0, 3690.0, 9; 0; 11; 1737; 62; 41; 933; 57; 12; 373; 179; 64; 574; 126; 662; 89; 30; 3740; 110; 28; 152; 36; 64; 88; 30; 18; 77; 20; 65; 12; 5; 26; 34; 7; 27; 9; 4; 190; 57; 76; 20; 15; 11; 12; 9; 14; 7; 2; 3; 1; 4; 2; 1; 5; 0; 3; 6; 2; 0; 5; 2; 0; 2; 0; 0; 2; 0; 0; 0; 0; 0; 0; 11; 7; 6; 0; 4; 1; 2; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 1, 241.0, 38878.0, 2310; 2011; 2086; 88; 83; 277; 460; 255; 89; 82; 279; 382; 153; 67; 71; 207; 174; 75; 88; 40; 105; 68; 30; 51; 40; 51; 41; 26; 31; 30; 33; 19; 14; 21; 14; 14; 10; 6; 8; 3; 15; 5; 7; 7; 6; 5; 6; 3; 5; 7; 1; 3; 1; 5; 3; 1; 3; 1; 5; 0; 2; 2; 2; 1; 1; 1; 0; 1; 0; 2; 0; 1; 1; 0; 2; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 400, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
2000, None, 649.645, 4781.56, 0.901855, 1.0, 0.95, 28.0, 2000.0, 16; 12; 30; 36; 48; 37; 20; 13; 26; 39; 1709; 10; 46; 41; 26; 457; 50; 4; 28; 4; 77; 49; 33; 70; 34; 68; 54; 19; 19; 36; 5; 1164; 49; 9; 33; 4174; 70; 80; 53; 20; 40; 17; 38; 22; 8; 21; 27; 54; 18; 11; 12; 135; 8; 12; 9; 9; 53; 12; 3; 0; 7; 7; 9; 6; 4; 4; 11; 6; 5; 3; 4; 354; 28; 17; 7; 90; 18; 13; 1; 5; 1; 10; 6; 2; 4; 2; 4; 7; 2; 0; 1; 8; 1; 1; 1; 2; 2; 0; 0; 1; 69, 269.0, 114058.0, 7143; 111; 196; 256; 173; 185; 141; 160; 124; 108; 103; 91; 111; 83; 81; 82; 75; 42; 80; 54; 56; 44; 36; 43; 34; 40; 29; 14; 26; 22; 19; 24; 20; 20; 12; 16; 8; 13; 9; 17; 7; 12; 7; 11; 9; 3; 1; 3; 9; 5; 1; 2; 2; 1; 4; 2; 6; 0; 1; 0; 0; 2; 1; 0; 0; 0; 3; 1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0, 10, 100, 400, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1800, None, 1029.93, 66.368, 0.901085, 0.999531, 0.95, 750.0, 1800.0, 1618; 0; 1271; 0; 0; 0; 0; 1029; 0; 0; 806; 0; 0; 672; 0; 0; 545; 0; 0; 437; 0; 352; 0; 0; 247; 0; 0; 207; 0; 0; 160; 0; 0; 135; 0; 0; 116; 0; 0; 83; 0; 53; 0; 0; 0; 54; 0; 0; 52; 0; 0; 34; 0; 0; 33; 0; 0; 19; 0; 26; 0; 0; 18; 0; 0; 16; 0; 0; 312; 0; 0; 272; 0; 0; 213; 0; 0; 136; 0; 118; 0; 0; 0; 94; 0; 0; 99; 0; 0; 84; 0; 0; 67; 0; 0; 51; 0; 0; 37; 534, 20.0, 390.0, 1573; 0; 1938; 0; 0; 241; 0; 0; 1203; 0; 1042; 0; 0; 830; 0; 0; 563; 0; 503; 0; 0; 441; 0; 0; 332; 0; 0; 253; 0; 219; 0; 0; 170; 0; 0; 229; 0; 92; 0; 0; 65; 0; 0; 0; 0; 54; 0; 0; 51; 0; 0; 44; 0; 0; 27; 0; 29; 0; 0; 18; 0; 0; 20; 0; 14; 0; 0; 13; 0; 0; 13; 0; 3; 0; 0; 4; 0; 0; 3; 0; 0; 0; 0; 1; 0; 0; 5; 0; 0; 4; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 2, 10, 100, 400, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1600, None, 649.146, 2163.16, 0.874377, 0.974272, 0.95, 241.0, 1600.0, 1671; 19; 67; 8; 11; 2; 5; 896; 28; 4; 3; 10; 0; 1; 209; 81; 189; 37; 94; 14; 16; 13; 552; 30; 91; 15; 2; 17; 1; 578; 8; 25; 64; 6; 0; 3343; 136; 85; 29; 83; 7; 13; 4; 61; 33; 85; 17; 57; 8; 20; 4; 61; 50; 11; 22; 5; 14; 8; 75; 6; 16; 11; 4; 5; 3; 5; 75; 7; 8; 11; 2; 7; 7; 11; 14; 8; 7; 5; 2; 6; 33; 7; 5; 8; 2; 5; 2; 1; 258; 12; 53; 3; 19; 10; 14; 6; 7; 15; 3; 319, 240.0, 50082.0, 8002; 29; 0; 36; 120; 19; 10; 239; 130; 19; 32; 187; 98; 27; 42; 121; 46; 27; 59; 111; 44; 22; 43; 58; 24; 21; 49; 42; 13; 13; 32; 29; 15; 16; 18; 19; 8; 9; 15; 11; 5; 15; 9; 7; 5; 9; 5; 7; 3; 4; 4; 10; 3; 8; 2; 4; 4; 2; 6; 2; 4; 1; 3; 3; 1; 1; 1; 1; 0; 4; 1; 0; 1; 1; 0; 2; 0; 0; 2; 2; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1, 10, 100, 400, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1500, None, 734.41, 978.15, 0.897759, 0.996418, 0.95, 9.0, 1500.0, 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 460; 0; 309; 0; 152; 0; 99; 425; 87; 123; 66; 14; 0; 103; 0; 224; 19; 137; 12; 39; 132; 36; 212; 43; 85; 12; 50; 292; 52; 155; 60; 71; 2381; 360; 398; 297; 261; 178; 28; 25; 289; 18; 231; 15; 199; 10; 140; 26; 124; 33; 100; 17; 66; 22; 89; 19; 57; 13; 45; 7; 72; 7; 35; 3; 21; 0; 25; 6; 23; 21; 6; 7; 5; 11; 6; 11; 18; 9; 8; 0; 190; 79; 46; 39; 434, 241.0, 7393.0, 87; 214; 251; 956; 256; 601; 575; 686; 726; 671; 833; 1025; 762; 429; 385; 270; 190; 170; 147; 123; 134; 127; 110; 97; 88; 28; 3; 1; 1; 0; 2; 0; 0; 0; 1; 0; 0; 3; 3; 0; 0; 3; 3; 5; 4; 1; 1; 0; 1; 1; 1; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 4; 1; 1; 1; 0; 2; 1; 0; 2; 2; 3; 0; 1; 2; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 400, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1400, None, 636.422, 2728.75, 0.855061, 0.954924, 0.95, 241.0, 1400.0, 1673; 28; 66; 13; 8; 6; 1; 2; 906; 13; 27; 3; 1; 5; 5; 0; 0; 334; 210; 37; 75; 92; 17; 13; 12; 441; 125; 21; 15; 90; 5; 2; 0; 2; 595; 31; 9; 69; 6; 11; 4; 3089; 127; 149; 89; 17; 28; 65; 19; 9; 45; 16; 20; 51; 18; 20; 21; 6; 21; 5; 31; 24; 6; 19; 8; 1; 11; 6; 50; 17; 2; 5; 7; 2; 5; 2; 9; 60; 7; 3; 1; 6; 4; 5; 4; 1; 12; 14; 10; 5; 5; 9; 2; 2; 31; 13; 4; 9; 4; 796, 240.0, 64265.0, 7654; 23; 14; 173; 4; 194; 410; 76; 29; 47; 9; 147; 197; 69; 53; 54; 18; 43; 114; 46; 21; 47; 14; 40; 63; 28; 17; 29; 13; 19; 37; 24; 14; 15; 18; 16; 23; 11; 8; 20; 9; 15; 19; 14; 12; 8; 8; 6; 9; 4; 4; 6; 2; 4; 1; 1; 1; 2; 3; 1; 3; 1; 1; 1; 1; 1; 3; 2; 2; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 400, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1500, None, 586.423, 5195.59, 0.901855, 1.0, 0.95, 18.0, 1500.0, 23; 26; 25; 13; 32; 13; 90; 22; 34; 16; 27; 7; 76; 37; 1580; 96; 16; 54; 17; 65; 22; 875; 24; 18; 9; 8; 16; 17; 201; 159; 32; 89; 40; 59; 18; 456; 50; 56; 24; 37; 16; 632; 40; 13; 55; 8; 30; 3323; 192; 44; 87; 27; 42; 24; 58; 23; 76; 5; 36; 5; 22; 6; 56; 23; 20; 5; 18; 2; 70; 1; 7; 4; 1; 7; 3; 58; 0; 4; 3; 2; 3; 3; 10; 3; 3; 3; 1; 2; 0; 14; 3; 3; 1; 5; 1; 199; 54; 11; 4; 150, 277.0, 82541.0, 3554; 1060; 256; 600; 428; 636; 325; 442; 250; 301; 285; 201; 221; 159; 143; 142; 125; 106; 91; 91; 62; 69; 60; 59; 40; 34; 22; 27; 23; 19; 18; 18; 19; 16; 11; 14; 8; 4; 11; 6; 11; 4; 3; 4; 2; 3; 1; 4; 1; 2; 0; 0; 0; 0; 2; 0; 0; 0; 0; 1; 0; 1; 0; 1; 2; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 400, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1400, None, 800.182, 1056.16, 0.855061, 0.954924, 0.95, 99.0, 1400.0, 2; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1738; 10; 2; 49; 2; 32; 1; 19; 799; 1; 22; 0; 19; 0; 1; 4; 43; 24; 161; 11; 87; 12; 3; 137; 17; 37; 111; 34; 63; 5; 37; 237; 23; 179; 28; 26; 60; 10; 62; 184; 263; 131; 248; 39; 9; 1; 173; 21; 121; 91; 107; 61; 6; 296; 47; 67; 246; 58; 131; 24; 162; 169; 47; 214; 61; 68; 145; 67; 87; 109; 141; 95; 64; 112; 18; 0; 187; 5; 2; 128; 21; 132; 18; 81; 25; 8; 111; 11; 61; 1218, 241.0, 10797.0, 207; 298; 1475; 838; 646; 796; 763; 769; 1148; 857; 632; 380; 219; 143; 134; 216; 43; 11; 3; 51; 44; 33; 34; 19; 22; 19; 14; 42; 18; 10; 5; 6; 8; 1; 0; 6; 1; 4; 12; 11; 9; 6; 4; 2; 3; 6; 5; 4; 1; 2; 0; 1; 2; 0; 0; 1; 0; 0; 2; 3; 0; 0; 2; 0; 0; 0; 1; 1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 400, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1300, None, 557.363, 5379.19, 0.901855, 1.0, 0.95, 39.0, 1300.0, 8; 4; 11; 11; 10; 50; 31; 40; 7; 9; 12; 32; 17; 112; 94; 1674; 169; 46; 61; 17; 12; 130; 73; 788; 33; 31; 18; 6; 6; 52; 0; 182; 163; 186; 87; 56; 17; 47; 12; 395; 142; 44; 32; 39; 9; 82; 17; 608; 29; 20; 56; 8; 7; 103; 2992; 121; 16; 30; 18; 19; 18; 1; 23; 26; 24; 37; 5; 17; 20; 6; 3; 48; 24; 13; 11; 6; 9; 14; 4; 51; 9; 2; 6; 5; 13; 1; 7; 54; 10; 2; 9; 3; 8; 0; 4; 19; 9; 3; 0; 375, 258.0, 62046.0, 2606; 2290; 95; 122; 232; 172; 464; 414; 195; 299; 369; 196; 185; 169; 142; 157; 260; 116; 124; 172; 121; 66; 84; 91; 66; 66; 88; 46; 47; 58; 45; 34; 35; 36; 20; 17; 19; 26; 23; 21; 15; 18; 22; 14; 10; 10; 8; 12; 11; 12; 8; 7; 6; 8; 2; 1; 2; 3; 2; 6; 4; 5; 5; 3; 2; 2; 3; 1; 2; 0; 2; 0; 0; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 400, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1200, None, 684.621, 3344.24, 0.83501, 0.934857, 0.95, 49.0, 1200.0, 2; 0; 4; 2; 4; 23; 9; 9; 6; 7; 7; 6; 11; 32; 17; 7; 4; 8; 10; 428; 10; 237; 41; 22; 135; 433; 3; 201; 2; 173; 3; 13; 0; 147; 25; 131; 26; 49; 16; 13; 28; 5; 470; 74; 8; 42; 23; 26; 22; 12; 18; 377; 9; 99; 20; 6; 73; 30; 4264; 174; 112; 43; 12; 23; 28; 29; 11; 29; 33; 13; 31; 11; 19; 15; 18; 9; 25; 55; 28; 18; 27; 22; 14; 17; 17; 17; 69; 12; 26; 10; 8; 8; 17; 11; 70; 10; 14; 7; 15; 991, 257.0, 57123.0, 4273; 2041; 51; 123; 497; 230; 196; 403; 211; 111; 202; 177; 97; 123; 118; 87; 96; 104; 74; 75; 61; 63; 41; 51; 50; 36; 45; 37; 33; 27; 35; 17; 15; 13; 20; 16; 11; 15; 19; 4; 11; 7; 6; 7; 9; 6; 6; 6; 5; 2; 2; 3; 5; 1; 4; 3; 1; 4; 2; 0; 2; 1; 1; 2; 0; 2; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 10, 100, 400, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
