time_limit, cost_limit, E_time, E_cost, P_success_inf, P_success_sup, P_success_confidence, time_distribution_low, time_distribution_up, time_distribution_hist, cost_distribution_low, cost_distribution_up, cost_distribution_hist, t_d_dk, t_d_cp, t_d_cc, t_d_dsr,  p_d_dk, p_d_cp, p_d_cc, p_d_dsr, t_a_ad, t_a_ic, t_a_p, t_a_sp, t_a_bf, t_a_ss, t_a_fue, p_a_ad, p_a_ic, p_a_p, p_a_sp, p_a_bf, p_a_ss, p_a_fue, w_a_ad, w_a_ic, w_a_p, w_a_sp, w_a_bf, w_a_ss, w_a_fue, wp_a_ad, wp_a_ic, wp_a_p, wp_a_sp, wp_a_bf, wp_a_ss, wp_a_fue
10000, None, 1083.83, 70.597, 0.901855, 1.0, 0.95, 750.0, 6860.0, 2892; 1864; 1130; 812; 285; 397; 244; 143; 104; 71; 22; 360; 488; 265; 181; 119; 92; 26; 37; 28; 16; 12; 12; 1; 5; 2; 3; 2; 1; 2; 0; 0; 64; 41; 69; 47; 23; 20; 17; 10; 5; 4; 2; 1; 11; 28; 7; 7; 3; 3; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 4; 2; 3; 3; 1; 2; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 20.0, 630.0, 1601; 1603; 0; 248; 1280; 0; 1071; 0; 814; 604; 0; 539; 0; 433; 91; 0; 311; 0; 286; 240; 0; 140; 163; 0; 112; 0; 21; 103; 0; 71; 0; 56; 39; 0; 34; 0; 28; 0; 0; 19; 19; 0; 17; 0; 13; 13; 0; 7; 0; 0; 3; 0; 4; 0; 3; 0; 0; 1; 0; 4; 0; 0; 3; 2; 0; 1; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 20, 100, 200, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
2000, None, 740.82, 2014.86, 0.901855, 1.0, 0.95, 241.0, 2000.0, 400; 345; 20; 16; 11; 574; 86; 18; 14; 9; 4; 216; 161; 59; 33; 8; 556; 94; 16; 47; 10; 7; 165; 166; 32; 21; 6; 3031; 609; 160; 393; 103; 68; 285; 73; 254; 203; 62; 115; 115; 130; 22; 81; 11; 60; 34; 53; 11; 35; 34; 9; 88; 3; 23; 7; 2; 29; 22; 1; 6; 2; 9; 48; 14; 9; 5; 2; 2; 99; 115; 13; 52; 74; 15; 42; 7; 37; 4; 24; 5; 17; 3; 17; 4; 10; 15; 3; 11; 0; 0; 5; 1; 7; 3; 1; 2; 8; 1; 1; 87, 250.0, 49596.0, 7574; 233; 5; 20; 282; 173; 36; 57; 556; 62; 16; 75; 147; 49; 18; 55; 89; 27; 15; 47; 37; 22; 12; 34; 20; 20; 14; 25; 12; 8; 20; 11; 18; 13; 15; 11; 7; 11; 10; 8; 11; 7; 9; 5; 6; 4; 7; 8; 3; 6; 3; 3; 3; 6; 6; 7; 2; 2; 4; 3; 3; 1; 0; 3; 1; 2; 1; 2; 3; 0; 2; 0; 1; 1; 0; 1; 0; 1; 0; 1; 2; 0; 0; 2; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1, 20, 100, 200, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1800, None, 709.333, 4629.3, 0.901855, 1.0, 0.95, 10.0, 1800.0, 30; 52; 57; 63; 58; 66; 42; 36; 40; 37; 17; 41; 512; 315; 33; 63; 51; 38; 629; 23; 12; 24; 26; 40; 239; 145; 84; 33; 32; 519; 83; 66; 18; 23; 32; 165; 142; 36; 29; 2570; 220; 392; 7; 331; 18; 224; 44; 197; 6; 154; 131; 53; 148; 5; 98; 12; 65; 30; 64; 12; 34; 17; 38; 96; 4; 29; 10; 8; 39; 20; 8; 31; 9; 12; 61; 1; 12; 3; 3; 88; 18; 80; 48; 4; 69; 16; 40; 27; 4; 9; 30; 9; 25; 16; 5; 25; 8; 14; 15; 283, 310.0, 62234.0, 4256; 1668; 195; 34; 147; 178; 550; 351; 122; 146; 107; 149; 250; 169; 77; 101; 77; 97; 161; 93; 51; 57; 54; 62; 77; 72; 46; 36; 45; 32; 43; 44; 26; 39; 39; 24; 21; 20; 23; 22; 27; 10; 12; 14; 16; 15; 8; 17; 15; 7; 9; 6; 4; 8; 5; 5; 11; 2; 2; 2; 5; 1; 6; 0; 1; 3; 2; 3; 3; 2; 2; 0; 3; 3; 0; 1; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 1; 0; 1, 20, 100, 200, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1600, None, 589.398, 7235.57, 0.901855, 1.0, 0.95, 14.0, 1600.0, 22; 58; 31; 103; 36; 147; 42; 94; 23; 33; 12; 51; 49; 22; 688; 392; 216; 153; 104; 70; 610; 158; 39; 57; 47; 10; 260; 205; 178; 87; 80; 75; 46; 562; 56; 53; 38; 22; 26; 188; 160; 104; 44; 52; 1800; 540; 385; 40; 228; 20; 76; 134; 42; 140; 5; 102; 33; 70; 39; 71; 62; 13; 23; 3; 35; 35; 7; 18; 12; 19; 30; 20; 3; 13; 6; 5; 2; 20; 7; 8; 11; 10; 2; 15; 7; 1; 7; 2; 1; 29; 63; 46; 6; 33; 26; 12; 17; 10; 12; 121, 310.0, 70321.0, 2701; 357; 67; 209; 53; 765; 535; 171; 834; 335; 287; 606; 181; 310; 350; 108; 307; 167; 90; 221; 111; 98; 161; 89; 87; 107; 53; 74; 66; 50; 49; 36; 28; 39; 27; 35; 23; 19; 22; 22; 11; 15; 8; 17; 9; 9; 6; 9; 6; 5; 2; 4; 8; 3; 1; 3; 2; 2; 1; 4; 2; 0; 5; 1; 0; 2; 2; 0; 3; 0; 0; 2; 0; 0; 2; 1; 2; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1, 20, 100, 200, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1500, None, 685.57, 852.914, 0.901855, 1.0, 0.95, 9.0, 1500.0, 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 454; 286; 0; 255; 0; 89; 0; 850; 0; 125; 0; 0; 0; 265; 0; 184; 35; 158; 0; 70; 624; 107; 0; 123; 0; 0; 43; 154; 173; 0; 149; 0; 2848; 29; 490; 27; 308; 13; 13; 16; 248; 11; 217; 19; 150; 10; 109; 87; 88; 5; 70; 1; 4; 59; 24; 61; 3; 48; 7; 31; 63; 32; 1; 27; 0; 1; 15; 27; 21; 0; 29; 0; 12; 1; 49; 0; 10; 0; 0; 0; 77; 3; 50; 1; 439, 285.0, 7013.0, 330; 511; 516; 738; 802; 748; 812; 831; 817; 737; 690; 520; 395; 278; 213; 196; 148; 150; 117; 106; 73; 81; 57; 41; 13; 26; 6; 6; 3; 3; 0; 0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 3; 0; 2; 0; 1; 1; 0; 0; 1; 0; 2; 0; 1; 2; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 3; 1; 0; 0; 1; 0; 0; 4; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 1, 20, 100, 200, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1400, None, 975.064, 379.253, 0.715292, 0.815036, 0.95, 722.0, 1400.0, 50; 48; 43; 67; 1619; 54; 35; 52; 1185; 36; 27; 28; 31; 32; 42; 960; 26; 31; 31; 29; 726; 18; 16; 18; 414; 152; 20; 15; 18; 461; 15; 7; 10; 231; 108; 9; 10; 6; 261; 9; 2; 7; 7; 7; 11; 191; 5; 6; 7; 144; 5; 2; 2; 1; 109; 3; 0; 4; 84; 10; 4; 1; 1; 81; 1; 2; 5; 57; 11; 0; 3; 1; 3; 3; 42; 3; 0; 0; 0; 35; 2; 0; 0; 35; 4; 0; 1; 1; 26; 1; 0; 2; 13; 8; 1; 0; 1; 11; 0; 2084, 231.0, 1139.0, 2166; 67; 74; 1522; 34; 65; 59; 1248; 4; 50; 33; 0; 54; 38; 51; 953; 22; 28; 38; 720; 1; 20; 26; 34; 550; 14; 13; 16; 437; 6; 12; 14; 126; 203; 8; 16; 10; 261; 5; 8; 4; 5; 5; 8; 191; 0; 6; 5; 4; 143; 3; 2; 5; 126; 0; 5; 3; 4; 97; 2; 4; 4; 74; 0; 3; 1; 1; 65; 1; 1; 3; 0; 3; 1; 33; 0; 2; 0; 1; 30; 0; 3; 4; 19; 0; 0; 1; 9; 13; 2; 2; 0; 16; 0; 3; 0; 11; 6; 2; 58, 20, 100, 200, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1500, None, 691.93, 3489.36, 0.901855, 1.0, 0.95, 10.0, 1500.0, 22; 75; 61; 80; 47; 74; 79; 84; 49; 63; 41; 37; 26; 32; 36; 517; 355; 55; 39; 58; 50; 57; 598; 39; 23; 27; 16; 10; 230; 42; 168; 51; 57; 56; 36; 375; 75; 18; 35; 9; 10; 8; 144; 100; 45; 30; 27; 1400; 95; 733; 43; 490; 13; 8; 8; 425; 19; 316; 6; 240; 6; 211; 28; 164; 3; 131; 1; 1; 100; 7; 85; 5; 68; 2; 51; 16; 43; 3; 38; 2; 1; 38; 8; 20; 2; 23; 0; 16; 1; 29; 0; 8; 1; 1; 1; 30; 9; 123; 11; 751, 297.0, 50912.0, 4937; 1762; 31; 16; 98; 204; 93; 250; 217; 94; 76; 238; 163; 104; 101; 162; 106; 74; 111; 141; 65; 49; 80; 76; 41; 41; 63; 66; 43; 36; 47; 43; 24; 30; 36; 18; 13; 21; 21; 16; 18; 18; 27; 10; 12; 11; 10; 6; 6; 4; 5; 10; 3; 9; 2; 2; 6; 6; 1; 5; 3; 3; 0; 1; 2; 0; 1; 1; 2; 0; 0; 1; 1; 0; 2; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1, 20, 100, 200, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1400, None, 593.724, 7132.46, 0.883797, 0.983053, 0.95, 38.0, 1400.0, 24; 8; 35; 4; 32; 82; 36; 20; 32; 14; 5; 26; 17; 2; 462; 322; 601; 194; 145; 156; 57; 50; 373; 51; 48; 31; 13; 24; 5; 292; 367; 149; 104; 155; 75; 51; 271; 68; 57; 29; 31; 25; 5; 8; 306; 193; 209; 79; 57; 60; 2494; 178; 375; 42; 116; 109; 62; 24; 160; 51; 80; 31; 33; 40; 20; 15; 43; 26; 8; 12; 6; 4; 5; 28; 20; 25; 7; 19; 9; 4; 28; 6; 7; 5; 1; 2; 0; 1; 27; 17; 20; 11; 5; 8; 2; 24; 6; 1; 2; 2; 319, 302.0, 64185.0, 2522; 651; 60; 223; 169; 248; 878; 187; 245; 819; 173; 230; 572; 157; 167; 412; 119; 154; 261; 108; 104; 198; 90; 78; 146; 85; 58; 117; 61; 39; 104; 52; 39; 53; 40; 23; 36; 19; 19; 25; 21; 19; 24; 18; 11; 18; 15; 10; 13; 12; 7; 9; 4; 4; 13; 7; 4; 2; 5; 3; 4; 3; 0; 2; 3; 1; 5; 3; 0; 2; 0; 2; 3; 2; 1; 2; 2; 0; 2; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1, 20, 100, 200, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1300, None, 579.56, 5421.92, 0.883797, 0.983053, 0.95, 10.0, 1300.0, 9; 21; 48; 25; 63; 28; 41; 84; 29; 84; 26; 35; 32; 11; 24; 35; 14; 439; 249; 386; 103; 182; 39; 90; 102; 611; 183; 51; 83; 36; 17; 11; 54; 249; 269; 52; 76; 153; 50; 52; 42; 564; 66; 34; 89; 14; 19; 7; 198; 110; 119; 90; 106; 17; 48; 2152; 169; 332; 31; 190; 22; 52; 35; 128; 60; 87; 28; 14; 95; 22; 68; 24; 110; 22; 11; 45; 5; 14; 3; 43; 16; 28; 6; 21; 6; 10; 18; 33; 13; 2; 10; 1; 2; 3; 2; 19; 16; 4; 3; 356, 292.0, 54341.0, 2073; 1088; 56; 381; 1323; 185; 182; 717; 415; 104; 331; 394; 155; 204; 233; 199; 137; 158; 209; 97; 77; 142; 110; 52; 94; 111; 56; 48; 55; 60; 21; 43; 33; 39; 32; 37; 32; 20; 32; 19; 17; 21; 18; 24; 10; 13; 13; 8; 3; 14; 10; 6; 5; 4; 4; 3; 6; 8; 5; 10; 6; 4; 2; 3; 3; 2; 3; 3; 2; 2; 2; 0; 0; 0; 1; 2; 1; 1; 2; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1, 20, 100, 200, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
1200, None, 663.277, 3624.94, 0.866689, 0.966276, 0.95, 10.0, 1200.0, 15; 17; 19; 16; 15; 21; 13; 14; 63; 20; 20; 9; 10; 11; 4; 11; 15; 7; 23; 468; 12; 313; 13; 247; 13; 49; 121; 321; 137; 8; 10; 101; 8; 15; 4; 49; 285; 232; 16; 35; 206; 27; 96; 12; 319; 95; 13; 83; 1; 3; 11; 5; 243; 16; 187; 18; 24; 153; 20; 2733; 64; 56; 297; 22; 59; 13; 3; 14; 179; 39; 42; 142; 71; 144; 20; 11; 92; 69; 129; 78; 34; 62; 41; 20; 1; 98; 33; 0; 83; 1; 83; 1; 5; 49; 47; 32; 3; 2; 38; 778, 295.0, 52673.0, 3787; 2471; 174; 40; 227; 201; 74; 337; 375; 89; 108; 281; 174; 55; 133; 188; 76; 58; 114; 113; 36; 60; 91; 71; 30; 62; 57; 26; 24; 50; 35; 26; 30; 34; 17; 21; 15; 26; 27; 20; 17; 14; 10; 9; 9; 6; 14; 10; 6; 6; 6; 7; 3; 2; 2; 2; 2; 3; 2; 2; 2; 7; 1; 1; 2; 1; 3; 0; 0; 3; 1; 1; 3; 3; 0; 0; 0; 1; 0; 0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1, 20, 100, 200, 2000, 1, 0.5, 1, 1, 8, 4, 1, 240, 1, 30, 720, 0.5, 0.3, 1, 0.8, 0.001, 0.2, 0.8, 100, 0, 0, 20, 0, 10, 10, 200, 500, 200, 0, 1, 0, 0
